GeneID	HZHBY	HZHBZ	HZHCA	HZHCB	HZHCC
jgi.p|Suilu4|1121099	266	501	231	417	366
jgi.p|Suilu4|11216	85	195	78	63	54
jgi.p|Suilu4|1124686	3266	5667	3082	4213	4257
jgi.p|Suilu4|11270	2909	4807	2555	3285	2925
jgi.p|Suilu4|11271	32	40	41	33	18
jgi.p|Suilu4|1129027	51	77	50	74	63
jgi.p|Suilu4|112905	14	15	10	42	26
jgi.p|Suilu4|1129166	2	2	0	0	5
jgi.p|Suilu4|11296	35	50	40	19	22
jgi.p|Suilu4|1129647	24	39	12	18	16
jgi.p|Suilu4|11318	158	267	149	181	209
jgi.p|Suilu4|113352	1224	1946	1134	1140	917
jgi.p|Suilu4|113878	2831	5059	2801	2900	1826
jgi.p|Suilu4|1139275	17	24	10	56	36
jgi.p|Suilu4|11399	165	257	191	148	131
jgi.p|Suilu4|1141765	49	98	47	62	51
jgi.p|Suilu4|1143200	0	1	1	4	0
jgi.p|Suilu4|1146566	19	23	22	34	22
jgi.p|Suilu4|1147445	914	1419	560	366	278
jgi.p|Suilu4|1155378	647	882	457	335	263
jgi.p|Suilu4|115564	206	383	220	296	315
jgi.p|Suilu4|11561	203	327	213	252	198
jgi.p|Suilu4|11564	1396	2725	1267	1746	1646
jgi.p|Suilu4|1157397	0	0	0	0	0
jgi.p|Suilu4|1158720	398	558	329	271	192
jgi.p|Suilu4|1159727	25	37	16	35	41
jgi.p|Suilu4|1160140	34	70	37	52	24
jgi.p|Suilu4|1161593	1789	2974	1651	1822	1476
jgi.p|Suilu4|1162565	607	1067	658	528	540
jgi.p|Suilu4|11647	3261	5308	3231	4625	3809
jgi.p|Suilu4|1168608	816	491	962	107	48
jgi.p|Suilu4|11687	746	1315	716	1399	1314
jgi.p|Suilu4|1171482	46	66	83	101	110
jgi.p|Suilu4|1171816	191	289	197	117	113
jgi.p|Suilu4|1171878	18	29	21	43	25
jgi.p|Suilu4|1173049	515	878	445	961	878
jgi.p|Suilu4|1173488	69	131	87	77	87
jgi.p|Suilu4|1175092	0	0	0	0	0
jgi.p|Suilu4|117555	854	1530	866	1044	857
jgi.p|Suilu4|1178221	1	6	7	2	2
jgi.p|Suilu4|1179961	986	1644	1008	2617	1856
jgi.p|Suilu4|11802	2279	3068	2825	3199	2593
jgi.p|Suilu4|1180907	107	217	96	116	64
jgi.p|Suilu4|11810	4	7	5	0	2
jgi.p|Suilu4|1181659	240	403	263	200	126
jgi.p|Suilu4|1181884	64	136	111	170	166
jgi.p|Suilu4|1182008	90	131	84	60	47
jgi.p|Suilu4|1182211	16	15	9	7	10
jgi.p|Suilu4|11827	943	1360	979	760	559
jgi.p|Suilu4|11835	0	0	0	0	0
jgi.p|Suilu4|1183814	32	47	50	14	14
jgi.p|Suilu4|11847	434	767	441	683	609
jgi.p|Suilu4|11851	3293	5245	3126	3394	2736
jgi.p|Suilu4|11853	19630	40953	30401	6071	5339
jgi.p|Suilu4|11869	600	982	491	992	884
jgi.p|Suilu4|11870	1028	1373	589	1449	1198
jgi.p|Suilu4|11887	0	0	0	0	0
jgi.p|Suilu4|11921	727	995	584	560	497
jgi.p|Suilu4|1192180	46	62	46	51	43
jgi.p|Suilu4|1192541	0	0	0	0	0
jgi.p|Suilu4|1192665	0	0	0	0	0
jgi.p|Suilu4|11967	402	556	270	372	294
jgi.p|Suilu4|1204779	0	1	1	0	0
jgi.p|Suilu4|1204912	67	96	48	72	44
jgi.p|Suilu4|1204986	52	65	31	24	30
jgi.p|Suilu4|1205169	217	348	230	196	219
jgi.p|Suilu4|1206016	0	0	0	0	0
jgi.p|Suilu4|12063	346	613	296	575	520
jgi.p|Suilu4|12094	1800	2271	872	1720	1420
jgi.p|Suilu4|1211246	1821	3145	1620	2176	1868
jgi.p|Suilu4|12162	0	0	0	0	0
jgi.p|Suilu4|121644	895	1357	613	1510	1458
jgi.p|Suilu4|122181	2055	3382	1501	2237	1769
jgi.p|Suilu4|122302	719	1327	800	754	646
jgi.p|Suilu4|12247	18	15	22	44	25
jgi.p|Suilu4|12252	52	93	45	87	70
jgi.p|Suilu4|12255	390	663	381	325	288
jgi.p|Suilu4|12267	59	66	61	33	37
jgi.p|Suilu4|12275	28	48	30	18	17
jgi.p|Suilu4|1228307	14	8	8	7	13
jgi.p|Suilu4|123736	481	730	328	548	389
jgi.p|Suilu4|1237473	347	476	276	220	201
jgi.p|Suilu4|123859	46	96	34	78	116
jgi.p|Suilu4|1238701	978	1580	934	874	662
jgi.p|Suilu4|12392	1253	1889	1356	1024	860
jgi.p|Suilu4|12403	1052	1746	705	1080	808
jgi.p|Suilu4|12419	8	17	10	0	2
jgi.p|Suilu4|12429	9	8	14	3	2
jgi.p|Suilu4|12439	435	797	488	441	437
jgi.p|Suilu4|12441	0	0	0	0	0
jgi.p|Suilu4|12444	0	1	0	0	0
jgi.p|Suilu4|12475	1490	2221	1264	782	571
jgi.p|Suilu4|12484	666	1148	672	722	653
jgi.p|Suilu4|1248899	325	663	389	388	342
jgi.p|Suilu4|1250786	282	487	305	294	243
jgi.p|Suilu4|12508	53	101	52	171	163
jgi.p|Suilu4|12511	206	318	181	458	404
jgi.p|Suilu4|1251263	192	305	191	179	195
jgi.p|Suilu4|12523	85	140	101	122	82
jgi.p|Suilu4|12544	332	532	284	591	457
jgi.p|Suilu4|12565	1532	2583	1375	2163	1861
jgi.p|Suilu4|12570	350	612	364	365	325
jgi.p|Suilu4|1257124	687	1293	804	750	545
jgi.p|Suilu4|125801	127	251	99	102	86
jgi.p|Suilu4|125830	8	11	5	17	12
jgi.p|Suilu4|1260019	234	404	191	439	339
jgi.p|Suilu4|1262070	0	0	0	0	0
jgi.p|Suilu4|12675	7843	14491	8719	4420	3494
jgi.p|Suilu4|12693	2669	4290	2517	4027	3136
jgi.p|Suilu4|12712	6128	8723	5452	13612	12152
jgi.p|Suilu4|1278537	960	1605	1158	1476	1149
jgi.p|Suilu4|127854	40	77	20	23	24
jgi.p|Suilu4|1280211	0	1	0	1	0
jgi.p|Suilu4|12807	0	0	0	0	0
jgi.p|Suilu4|1282249	1717	2183	1970	2223	1958
jgi.p|Suilu4|12847	17641	25776	10801	9213	5685
jgi.p|Suilu4|12851	328	453	231	133	109
jgi.p|Suilu4|128726	0	0	0	0	1
jgi.p|Suilu4|128931	16	14	9	4	16
jgi.p|Suilu4|12904	2194	3602	1598	2085	1729
jgi.p|Suilu4|12922	607	1051	569	971	961
jgi.p|Suilu4|1293127	14	33	10	14	5
jgi.p|Suilu4|12936	0	0	0	0	0
jgi.p|Suilu4|12943	963	1870	950	1630	1064
jgi.p|Suilu4|1296714	0	1	0	4	1
jgi.p|Suilu4|12970	1198	2214	1444	1006	720
jgi.p|Suilu4|12979	0	0	0	0	0
jgi.p|Suilu4|12982	982	1663	1008	1315	1318
jgi.p|Suilu4|129839	1362	3132	1515	1167	1476
jgi.p|Suilu4|12999	538	817	471	767	671
jgi.p|Suilu4|1300410	0	0	0	0	0
jgi.p|Suilu4|1300864	678	1257	787	1051	1099
jgi.p|Suilu4|1302276	49	78	62	149	167
jgi.p|Suilu4|1302398	91	134	105	83	76
jgi.p|Suilu4|1302427	314	441	257	264	268
