GeneID	GO_Term
23635	"GO:0008415,GO:0008152,GO:0046941,GO:0043849,GO:0043806,GO:0043764,GO:0043741,GO:0032216,GO:0019707,GO:0019706,GO:0019705,GO:0019186,GO:0019107,GO:0019105,GO:0018713,GO:0018712,GO:0018711,GO:0018031,GO:0018030,GO:0016753,GO:0016752,GO:0016751,GO:0016750,GO:0016749,GO:0016748,GO:0016454,GO:0016420,GO:0016419,GO:0016418,GO:0016417,GO:0016416,GO:0016415,GO:0016414,GO:0016413,GO:0016412,GO:0016411,GO:0016410,GO:0016409,GO:0016408,GO:0016407,GO:0016406,GO:0008951,GO:0008374,GO:0008080,GO:0004406,GO:0004405,GO:0004147"
23651	"GO:0005634,GO:0018024,GO:0016568,GO:0008270"
23707	"GO:0016829,GO:0000287"
24044	GO:0004338
24051	GO:0005515
24066	GO:0008532
24068	GO:0004682
24111	GO:0003676
24266	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
24377	"GO:0016491,GO:0006118,GO:0010181,GO:0050040"
24380	"GO:0006888,GO:0005801,GO:0006810"
24404	GO:0006810
24445	"GO:0006468,GO:0005524,GO:0004672,GO:0004674,GO:0004682"
24554	GO:0004437
24560	"GO:0008270,GO:0005515"
24734	"GO:0006412,GO:0005840,GO:0005622,GO:0003735"
24744	"GO:0005525,GO:0003924,GO:0006414,GO:0005622,GO:0003746"
24770	"GO:0016020,GO:0008643,GO:0005351,GO:0016021,GO:0006810,GO:0005215"
24841	"GO:0006457,GO:0003755,GO:0042027,GO:0030051,GO:0004600"
24860	GO:0016972
24866	"GO:0046961,GO:0046933,GO:0016469,GO:0015986"
24988	"GO:0003676,GO:0006413,GO:0003743,GO:0003723"
24994	"GO:0007264,GO:0005525,GO:0005622,GO:0015031"
25000	"GO:0008270,GO:0006355,GO:0005634,GO:0003700,GO:0006350,GO:0003677"
25014	"GO:0006418,GO:0006412,GO:0005737,GO:0005524,GO:0004812,GO:0000166,GO:0006423,GO:0004817"
25055	"GO:0016021,GO:0004659"
25364	GO:0005515
25409	GO:0047372
25584	GO:0008853
25586	"GO:0004523,GO:0003676"
26099	"GO:0009058,GO:0003824,GO:0004105"
26355	"GO:0016788,GO:0006629"
26368	GO:0003677
26385	"GO:0006468,GO:0005524,GO:0004672,GO:0004713,GO:0004682"
26397	"GO:0016887,GO:0005524,GO:0017111,GO:0000166,GO:0008559"
26552	"GO:0006468,GO:0005524,GO:0004672,GO:0004713,GO:0004715"
26580	GO:0004032
26594	"GO:0008270,GO:0005515"
26642	"GO:0016020,GO:0008643,GO:0005351,GO:0016021,GO:0006810,GO:0005215"
26728	"GO:0006081,GO:0004030,GO:0016491,GO:0008152,GO:0004029"
26843	"GO:0046677,GO:0016021,GO:0015904,GO:0015520"
26880	"GO:0006725,GO:0006118,GO:0004497,GO:0016491,GO:0008152,GO:0018658"
26984	"GO:0006096,GO:0006094,GO:0004347"
27023	"GO:0008270,GO:0003676"
27030	GO:0003677
27031	GO:0003677
27093	GO:0008299
27108	"GO:0016884,GO:0004040"
27185	"GO:0008270,GO:0003676"
29053	"GO:0008270,GO:0003676"
29177	"GO:0008270,GO:0005622,GO:0003676"
31295	"GO:0008270,GO:0005622,GO:0003676"
31658	GO:0008853
32641	"GO:0006468,GO:0005524,GO:0004672,GO:0004713,GO:0004682"
32647	"GO:0008270,GO:0005515"
36564	"GO:0006468,GO:0005524,GO:0004672,GO:0004713,GO:0004715"
37999	"GO:0006468,GO:0005524,GO:0004672"
38840	"GO:0005975,GO:0004553"
43692	"GO:0008270,GO:0003676"
49513	GO:0005525
49860	"GO:0006468,GO:0005524,GO:0004672"
51908	"GO:0003824,GO:0033961"
52786	"GO:0008270,GO:0006350,GO:0005634,GO:0003677"
55221	"GO:0005524,GO:0003677,GO:0004386,GO:0003676"
55560	GO:0005525
58237	"GO:0006468,GO:0005524,GO:0004672,GO:0004713"
59012	"GO:0008270,GO:0005622,GO:0003676"
62165	"GO:0006281,GO:0004518"
62828	"GO:0008026,GO:0005524,GO:0003676"
63647	GO:0003676
65804	GO:0003676
67482	GO:0003676
67740	"GO:0016763,GO:0043867,GO:0018127,GO:0018121,GO:0018071,GO:0000107"
69333	GO:0047395
69866	"GO:0008152,GO:0006529,GO:0004066"
70009	"GO:0006412,GO:0005840,GO:0005622,GO:0003735,GO:0003723,GO:0003676"
