"","gene","p.val","rank"
"1863","2847367",0.0035607487920479,2.44845866437004
"1864","805233",0.00356520802086032,2.44791512508951
"1865","87695",0.00357233808630648,2.44704744618071
"1866","2849410",0.00358524346393552,2.44548134726157
"1867","2890528",0.00359874905920459,2.44384843564837
"1868","75708",0.00362512395977166,2.44067713830006
"1869","2850611",0.00362986914749647,2.44010903048579
"1870","404897",0.00363416840002953,2.43959495223187
"1871","2868420",0.00364449177308451,2.43836302579156
"1872","2850690",0.0036504763258538,2.43765046370981
"1873","2922622",0.00365478344620676,2.43713835082751
"1874","2890888",0.00368605630345912,2.43343803534189
"1875","2900935",0.00369360049033715,2.43255008080294
"1876","91210",0.003703365262897,2.4314034513755
"1877","802813",0.00371391180019781,2.43016841431251
"1878","2858993",0.00372607849848004,2.42874799992351
"1879","2890067",0.00372674560381352,2.42867025216991
"1880","2839023",0.00373233587172169,2.42801928114422
"1881","2917407",0.00374596759886296,2.42643598341991
"1882","1756442",0.00374793511487224,2.42620793632665
"1883","2457315",0.00375103661562721,2.42584869647651
"1884","2859223",0.00375510237832338,2.42537821798477
"1885","170140",0.00375742231654955,2.42510998954149
"1886","2862098",0.00377593713177269,2.4229752451874
"1887","2941063",0.00378186108530528,2.42229442763095
"1888","2182161",0.00378554970293549,2.42187104730858
"1889","2769056",0.00379781041134794,2.42046671926213
"1890","2838683",0.00380109413396314,2.42009137497608
"1891","2847426",0.00380451690246516,2.41970048210331
"1892","93443",0.00380593673431032,2.41953843522091
"1893","778283",0.00381763276641478,2.41820585048145
"1894","2862054",0.0038387702653448,2.41580787784834
"1895","2912525",0.00384442943050191,2.41516810672649
"1896","2844675",0.00385877556507717,2.41355048022182
"1897","218031",0.0038634104846993,2.41302914591449
"1898","2845843",0.0038648199883661,2.41287072939893
"1899","1944977",0.00386817829464834,2.41249351633739
"1900","2770996",0.00391308752104731,2.40748043845689
"1901","2854868",0.00391600834518668,2.4071563913672
"1902","2980739",0.00391895086284868,2.40683018182107
"1903","1042538",0.00392914635624268,2.40570179391032
