"","gene","p.val","rank"
"6344","21687",0.488952063030296,0.310733717117538
"6345","724124",0.488954673855349,0.310731398150154
"6346","2925063",0.489128244150183,0.310577258617253
"6347","2891709",0.489300269396767,0.310424545128071
"6348","2293796",0.489306749866141,0.31041879321329
"6349","2851698",0.490049082228543,0.309760419821504
"6350","2870562",0.490137115103972,0.30968240976131
"6351","1920543",0.490366783927911,0.309478955384791
"6352","2901531",0.490426634234249,0.309425952056396
"6353","2868289",0.490540374472363,0.309325241721458
"6354","107703",0.490838438172835,0.309061434468474
"6355","551332",0.490869176110555,0.309034238353159
"6356","753487",0.490968909064369,0.308946008995777
"6357","2856080",0.491280852902487,0.308670161655602
"6358","2780865",0.491412928050419,0.308553422322556
"6359","2860916",0.491489253521838,0.308485973634875
"6360","2857653",0.491802125973248,0.308209598215328
"6361","2865753",0.491812182707544,0.30820071753075
"6362","2312892",0.491841003722371,0.308175267894885
"6363","2917536",0.491929381011207,0.308097237961141
"6364","63079",0.491963658784002,0.308066977258035
"6365","2855312",0.491990867491287,0.308042958685792
"6366","2777075",0.491995017346831,0.308039295504457
"6367","2170410",0.492335980420962,0.30773842437902
"6368","2896305",0.492657169188328,0.307455192938648
"6369","735075",0.492664819710579,0.307448448788746
"6370","2816484",0.493003951793348,0.307149599515537
"6371","2765599",0.493070116314078,0.307091318120207
"6372","2762490",0.493281034378654,0.306905581928971
"6373","2768611",0.493394710626764,0.306805510618318
"6374","2851887",0.493514401535084,0.306700169405776
"6375","2857246",0.493697203737418,0.306539332583686
"6376","803428",0.493769639123474,0.306475617454935
